City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Te Anau,NZ,-45.42,167.72,45.86,79,100,0.22,overcast clouds
209,Alyangula,AU,-13.85,136.42,66.2,88,0,19.28,clear sky
210,Brigantine,US,39.41,-74.36,82.4,58,1,10.29,clear sky
211,Ancud,CL,-41.87,-73.82,48.99,87,99,10.29,overcast clouds
212,Pangody,RU,65.85,74.49,53.69,87,100,11.74,overcast clouds
213,Antequera,ES,37.02,-4.56,78.01,69,0,4.7,clear sky
214,Nome,US,64.5,-165.41,55.4,87,90,13.87,overcast clouds
215,Nelson Bay,AU,-32.72,152.15,54.0,57,60,25.28,broken clouds
216,Quibdo,CO,5.69,-76.66,76.39,93,83,3.71,moderate rain
217,Cidreira,BR,-30.18,-50.21,53.56,73,0,6.13,clear sky
218,Clyde River,CA,70.47,-68.59,49.82,71,95,6.58,overcast clouds
219,East London,ZA,-33.02,27.91,64.81,48,0,12.75,clear sky
220,Yuzhou,CN,34.16,113.46,71.6,100,90,2.24,mist
221,Anchorage,US,61.22,-149.9,73.0,43,40,8.05,scattered clouds
222,Lakes Entrance,AU,-37.88,147.98,51.01,75,80,1.99,light rain
223,Sao Felix Do Xingu,BR,-6.64,-51.99,82.58,30,10,0.65,clear sky
224,Yerbogachen,RU,61.28,108.01,50.97,64,22,7.14,few clouds
225,Valparaiso,CL,-33.04,-71.63,52.0,100,90,16.11,overcast clouds
226,Sept-Iles,CA,50.2,-66.38,62.01,67,75,4.7,broken clouds
227,Mettur,IN,11.8,77.8,77.7,83,93,1.5,moderate rain
228,Iqaluit,CA,63.75,-68.51,44.6,87,20,8.05,few clouds
229,Nanortalik,GL,60.14,-45.24,45.93,77,5,1.66,clear sky
230,Tuatapere,NZ,-46.13,167.68,46.99,97,100,4.0,overcast clouds
231,Passo De Camaragibe,BR,-9.24,-35.49,71.6,88,20,3.36,few clouds
232,Tyret Pervaya,RU,53.67,102.31,53.73,93,89,12.55,overcast clouds
233,Pinotepa Nacional,MX,16.32,-98.02,80.55,80,82,3.8,light rain
234,Capitao Poco,BR,-1.75,-47.06,75.56,90,75,7.31,broken clouds
235,Carnarvon,AU,-24.87,113.63,64.4,77,92,9.17,overcast clouds
236,Roald,NO,62.58,6.13,55.99,87,100,17.22,drizzle
237,Freeport,US,40.66,-73.58,84.0,69,1,10.29,clear sky
238,Tatawin,TN,32.93,10.45,84.2,28,0,3.36,clear sky
239,Bafra,TR,41.57,35.91,66.2,82,20,3.36,few clouds
240,Vavuniya,LK,8.75,80.5,75.69,87,26,6.08,scattered clouds
241,Northam,GB,51.03,-4.22,61.0,88,44,10.0,scattered clouds
242,Katsuura,JP,35.13,140.3,80.01,83,100,1.01,moderate rain
243,Quatre Cocos,MU,-20.21,57.76,69.8,77,40,8.05,scattered clouds
244,Constitucion,CL,-35.33,-72.42,53.64,91,13,14.09,few clouds
245,Kloulklubed,PW,7.04,134.26,78.8,88,75,2.24,broken clouds
246,Mareeba,AU,-17.0,145.43,68.0,72,31,2.46,scattered clouds
247,Sault Sainte Marie,CA,46.52,-84.33,73.4,83,90,5.82,overcast clouds
248,Lidzbark Warminski,PL,54.13,20.58,63.36,95,100,8.55,overcast clouds
249,Cabo San Lucas,MX,22.89,-109.91,89.6,52,5,9.17,clear sky
250,Mahebourg,MU,-20.41,57.7,69.8,77,40,8.05,scattered clouds
251,Mahajanga,MG,-15.72,46.32,70.34,67,65,10.29,broken clouds
252,Codrington,AU,-38.27,141.97,48.38,81,58,16.82,light rain
253,Atar,MR,20.52,-13.05,99.75,20,73,3.13,broken clouds
254,Bealanana,MG,-14.55,48.73,52.34,91,64,3.62,broken clouds
255,Monrovia,LR,6.3,-10.8,77.0,94,75,10.13,light intensity drizzle
256,Buala,SB,-8.14,159.59,83.43,76,100,10.67,light rain
257,Beisfjord,NO,68.38,17.6,59.0,93,100,6.93,light rain
258,Saint-Louis,SN,16.33,-15.0,87.21,64,97,16.11,overcast clouds
259,Siniscola,IT,40.57,9.69,82.4,58,0,9.17,clear sky
260,Kologriv,RU,58.83,44.32,53.44,89,0,3.0,clear sky
261,Rio De Janeiro,BR,-22.9,-43.21,62.6,88,90,13.87,light rain
262,Ischia,IT,40.73,13.95,77.0,83,0,2.24,clear sky
263,Fuerte Olimpo,PY,-21.04,-57.87,54.79,65,85,1.88,overcast clouds
264,Klaksvik,FO,62.23,-6.59,46.4,75,100,14.99,overcast clouds
265,Jiaonan,CN,35.88,119.98,75.99,94,33,2.24,scattered clouds
266,Charters Towers,AU,-20.1,146.27,60.94,33,29,15.68,scattered clouds
267,Labytnangi,RU,66.66,66.42,50.72,84,70,6.69,light rain
268,Ilhabela,BR,-23.78,-45.36,61.66,76,90,4.34,light rain
269,Luderitz,NA,-26.65,15.16,64.33,28,0,7.63,clear sky
270,Nara,JP,34.69,135.8,80.01,83,75,5.82,broken clouds
271,Mahibadhoo,MV,3.78,72.97,83.84,67,0,5.32,clear sky
272,Zelenoborsk,RU,61.47,64.03,48.54,93,25,7.52,scattered clouds
273,Dalvik,IS,65.97,-18.53,48.2,81,0,9.17,clear sky
274,Puerto Ayora,EC,-0.74,-90.35,66.99,88,82,3.0,broken clouds
275,Chuy,UY,-33.7,-53.46,46.53,70,0,6.26,clear sky
