City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Ribeira Grande,PT,2020-08-20 00:13:54,38.52,-28.7,68.94,67,82,16.15
137,Zeya,RU,2020-08-20 00:13:55,53.75,127.27,62.22,51,24,3.78
138,Andenes,NO,2020-08-20 00:13:55,69.31,16.12,44.6,87,65,4.7
139,Berlevag,NO,2020-08-20 00:13:55,70.86,29.09,52.18,82,72,9.62
140,Lavrentiya,RU,2020-08-20 00:12:08,65.58,-171.0,54.5,70,60,8.28
141,Bambous Virieux,MU,2020-08-20 00:13:56,-20.34,57.76,69.01,82,75,11.41
142,Honiara,SB,2020-08-20 00:13:56,-9.43,159.95,87.8,74,75,8.05
143,Half Moon Bay,US,2020-08-20 00:13:49,37.46,-122.43,86.0,77,1,13.87
144,Swellendam,ZA,2020-08-20 00:13:57,-34.02,20.44,50.0,76,87,1.12
145,Eyl,SO,2020-08-20 00:13:57,7.98,49.82,77.99,75,3,18.14
146,Fortuna,US,2020-08-20 00:13:58,40.6,-124.16,71.01,35,33,10.0
147,Port Shepstone,ZA,2020-08-20 00:13:58,-30.74,30.45,52.5,58,0,9.57
148,Muroto,JP,2020-08-20 00:13:58,33.28,134.15,86.0,70,75,4.7
149,Sohbatpur,PK,2020-08-20 00:13:58,28.52,68.54,90.23,57,65,13.35
150,Nata,PA,2020-08-20 00:13:59,8.33,-80.52,75.99,85,100,9.69
151,Torbay,CA,2020-08-20 00:09:28,47.67,-52.73,64.0,88,75,12.75
152,Burnie,AU,2020-08-20 00:13:59,-41.07,145.92,53.01,59,28,7.0
153,Pisco,PE,2020-08-20 00:10:41,-13.7,-76.22,64.4,72,1,20.8
154,Tres Arroyos,AR,2020-08-20 00:14:00,-38.37,-60.28,35.53,86,19,6.17
155,Ust-Nera,RU,2020-08-20 00:14:00,64.57,143.2,46.02,71,99,7.81
156,Sao Filipe,CV,2020-08-20 00:14:00,14.9,-24.5,77.47,79,44,12.8
157,Cortez,US,2020-08-20 00:14:00,37.35,-108.59,93.2,17,1,10.29
158,Conde,BR,2020-08-20 00:14:00,-7.26,-34.91,71.6,94,85,4.7
159,Hilo,US,2020-08-20 00:09:50,19.73,-155.09,82.4,65,90,11.41
160,Padang,ID,2020-08-20 00:12:22,-0.95,100.35,78.93,76,80,4.32
161,Ostrovnoy,RU,2020-08-20 00:14:01,68.05,39.51,49.24,78,46,10.18
162,Qaanaaq,GL,2020-08-20 00:14:01,77.48,-69.36,44.13,90,100,2.06
163,Acarau,BR,2020-08-20 00:14:01,-2.89,-40.12,77.09,77,26,16.22
164,Mountain Home,US,2020-08-20 00:09:54,43.13,-115.69,93.2,20,99,10.31
165,Victoria,HK,2020-08-20 00:14:02,22.29,114.16,84.99,83,98,8.01
166,Hamilton,US,2020-08-20 00:14:02,39.18,-84.53,77.0,47,40,9.17
167,Thompson,CA,2020-08-20 00:14:03,55.74,-97.86,71.6,53,75,2.24
168,Los Chiles,CR,2020-08-20 00:14:03,11.03,-84.72,77.86,90,100,2.75
169,Belaya Gora,RU,2020-08-20 00:14:03,68.53,146.42,41.02,76,99,8.99
170,Chunhuhub,MX,2020-08-20 00:14:03,19.55,-88.68,86.41,61,86,4.7
171,Pangai,TO,2020-08-20 00:14:03,-19.8,-174.35,80.6,83,40,11.41
172,Villa Rica,US,2020-08-20 00:10:08,33.73,-84.92,70.0,83,75,6.93
173,Ancud,CL,2020-08-20 00:14:04,-41.87,-73.82,43.0,86,20,3.36
174,Shingu,JP,2020-08-20 00:14:04,33.73,135.98,86.0,70,75,2.24
175,Guanica,PR,2020-08-20 00:14:04,17.97,-66.91,82.99,71,40,1.99
176,Jumla,NP,2020-08-20 00:14:05,29.27,82.18,61.43,72,100,1.03
177,Avdon,RU,2020-08-20 00:14:05,54.67,55.72,51.8,81,75,13.42
178,Hermanus,ZA,2020-08-20 00:10:44,-34.42,19.23,44.01,92,99,10.11
179,Yerbogachen,RU,2020-08-20 00:12:04,61.28,108.01,58.44,51,4,7.87
180,Lebu,CL,2020-08-20 00:14:05,-37.62,-73.65,45.95,74,0,19.86
181,Cabo San Lucas,MX,2020-08-20 00:10:33,22.89,-109.91,77.0,92,100,20.0
182,Port Lincoln,AU,2020-08-20 00:14:06,-34.73,135.87,55.87,66,20,20.58
183,Bud,US,2020-08-20 00:14:06,39.45,-86.18,75.2,53,1,6.51
184,Birjand,IR,2020-08-20 00:14:06,32.87,59.22,69.8,16,0,9.17
185,Yarega,RU,2020-08-20 00:14:06,63.44,53.58,54.37,96,100,9.78
186,Tuktoyaktuk,CA,2020-08-20 00:14:07,69.45,-133.04,53.6,81,40,9.17
187,Kavaratti,IN,2020-08-20 00:14:07,10.57,72.64,82.06,77,100,13.85
188,Nalut,LY,2020-08-20 00:14:07,30.33,10.85,87.66,15,32,11.41
189,Senno,RU,2020-08-20 00:14:07,59.53,33.92,49.26,80,0,3.38
190,Husavik,IS,2020-08-20 00:14:08,66.04,-17.34,46.4,75,0,5.82
191,Calabozo,VE,2020-08-20 00:14:08,8.92,-67.43,77.81,93,77,3.6
192,Elizabethton,US,2020-08-20 00:14:08,36.35,-82.21,75.2,73,1,2.17
193,Souillac,MU,2020-08-20 00:14:08,-20.52,57.52,68.0,82,75,11.41
194,Port Hawkesbury,CA,2020-08-20 00:14:09,45.62,-61.35,66.2,88,1,4.7
195,Geraldton,AU,2020-08-20 00:14:09,-28.77,114.6,51.8,81,82,3.36
196,Ascope,PE,2020-08-20 00:14:09,-7.71,-79.11,60.51,78,43,3.69
197,Cocobeach,GA,2020-08-20 00:14:09,1.0,9.58,75.81,88,100,16.46
198,Jacqueville,CI,2020-08-20 00:14:10,5.21,-4.41,77.0,94,20,5.82
199,Marawi,PH,2020-08-20 00:14:10,8.0,124.29,77.0,90,100,3.0
200,General Cepeda,MX,2020-08-20 00:14:10,25.38,-101.45,82.4,37,75,11.41
201,Palmer,US,2020-08-20 00:11:15,42.16,-72.33,66.2,88,20,2.01
202,Butaritari,KI,2020-08-20 00:14:10,3.07,172.79,83.23,78,27,9.95
203,Clyde River,CA,2020-08-20 00:14:11,70.47,-68.59,50.0,87,75,8.05
204,Keti Bandar,PK,2020-08-20 00:14:11,24.14,67.45,84.29,80,89,17.0
205,Aksu,CN,2020-08-20 00:14:11,41.12,80.26,68.9,46,91,1.19
206,Touros,BR,2020-08-20 00:14:11,-5.2,-35.46,75.2,83,20,4.7
207,Pecos,US,2020-08-20 00:11:45,31.42,-103.49,98.6,16,1,13.87
208,Vila Velha,BR,2020-08-20 00:09:29,-20.33,-40.29,77.0,83,40,13.87
209,Akdepe,TM,2020-08-20 00:14:12,42.06,59.38,69.8,52,0,2.24
210,Ekhabi,RU,2020-08-20 00:14:12,53.51,142.97,57.65,72,72,21.0
211,Mama,RU,2020-08-20 00:14:12,58.31,112.9,63.61,56,3,4.41
212,Bluff,NZ,2020-08-20 00:11:07,-46.6,168.33,55.0,83,58,1.99
213,Port Keats,AU,2020-08-20 00:14:13,-14.25,129.55,80.87,69,65,5.32
214,Alexandria,EG,2020-08-20 00:14:13,31.22,29.96,78.12,70,0,8.34
215,Lena,ES,2020-08-20 00:14:13,43.1,-5.73,66.99,74,35,4.34
216,Shamkhal,RU,2020-08-20 00:14:13,43.06,47.34,64.4,77,0,4.47
217,Rome,US,2020-08-20 00:09:24,34.26,-85.16,71.6,88,90,4.7
218,Buta,CD,2020-08-20 00:14:14,2.79,24.73,68.77,95,98,1.5
219,Presidencia Roque Saenz Pena,AR,2020-08-20 00:14:14,-26.79,-60.44,54.66,39,0,14.18
220,Nanortalik,GL,2020-08-20 00:14:14,60.14,-45.24,46.29,79,25,14.54
221,Kropotkin,RU,2020-08-20 00:14:16,45.44,40.58,67.26,41,0,6.62
222,Coahuayana,MX,2020-08-20 00:14:17,18.73,-103.68,78.8,78,75,17.22
223,Klyuchi,RU,2020-08-20 00:14:17,52.27,79.17,56.3,65,0,10.94
224,Chuy,UY,2020-08-20 00:14:17,-33.7,-53.46,42.51,77,26,8.99
225,Beyneu,KZ,2020-08-20 00:14:17,45.32,55.2,68.02,24,15,5.3
226,Santa Rosa,PH,2020-08-20 00:14:18,14.31,121.11,80.01,94,100,4.7
227,Pelotas,BR,2020-08-20 00:14:18,-31.77,-52.34,48.0,67,15,3.0
228,Bathsheba,BB,2020-08-20 00:14:18,13.22,-59.52,82.4,78,40,16.11
